id,especialidad,colegiatura,horario
991,Public affairs consultant,CM-0926,"{""horario"": [{""dia"": ""Lunes"", ""turnos"": {""inicio"": ""10:00"", ""fin"": ""14:00""}}, {""dia"": ""Martes"", ""turnos"": {""inicio"": ""11:00"", ""fin"": ""17:00""}}, {""dia"": ""Miércoles"", ""turnos"": {""inicio"": ""11:00"", ""fin"": ""16:00""}}, {""dia"": ""Jueves"", ""turnos"": {""inicio"": ""8:00"", ""fin"": ""12:00""}}, {""dia"": ""Viernes"", ""turnos"": {""inicio"": ""8:00"", ""fin"": ""12:00""}}]}"
992,Oceanographer,CM-4023,"{""horario"": [{""dia"": ""Lunes"", ""turnos"": {""inicio"": ""11:00"", ""fin"": ""16:00""}}, {""dia"": ""Martes"", ""turnos"": {""inicio"": ""8:00"", ""fin"": ""14:00""}}, {""dia"": ""Miércoles"", ""turnos"": {""inicio"": ""9:00"", ""fin"": ""15:00""}}, {""dia"": ""Jueves"", ""turnos"": {""inicio"": ""7:00"", ""fin"": ""13:00""}}, {""dia"": ""Viernes"", ""turnos"": {""inicio"": ""8:00"", ""fin"": ""14:00""}}]}"
993,Printmaker,CM-2791,"{""horario"": [{""dia"": ""Lunes"", ""turnos"": {""inicio"": ""11:00"", ""fin"": ""16:00""}}, {""dia"": ""Martes"", ""turnos"": {""inicio"": ""8:00"", ""fin"": ""14:00""}}, {""dia"": ""Miércoles"", ""turnos"": {""inicio"": ""11:00"", ""fin"": ""16:00""}}, {""dia"": ""Jueves"", ""turnos"": {""inicio"": ""7:00"", ""fin"": ""13:00""}}, {""dia"": ""Viernes"", ""turnos"": {""inicio"": ""11:00"", ""fin"": ""15:00""}}]}"
994,Plant breeder/geneticist,CM-8226,"{""horario"": [{""dia"": ""Lunes"", ""turnos"": {""inicio"": ""7:00"", ""fin"": ""13:00""}}, {""dia"": ""Martes"", ""turnos"": {""inicio"": ""9:00"", ""fin"": ""14:00""}}, {""dia"": ""Miércoles"", ""turnos"": {""inicio"": ""11:00"", ""fin"": ""15:00""}}, {""dia"": ""Jueves"", ""turnos"": {""inicio"": ""9:00"", ""fin"": ""15:00""}}, {""dia"": ""Viernes"", ""turnos"": {""inicio"": ""8:00"", ""fin"": ""13:00""}}]}"
995,Tour manager,CM-3112,"{""horario"": [{""dia"": ""Lunes"", ""turnos"": {""inicio"": ""10:00"", ""fin"": ""16:00""}}, {""dia"": ""Martes"", ""turnos"": {""inicio"": ""10:00"", ""fin"": ""14:00""}}, {""dia"": ""Miércoles"", ""turnos"": {""inicio"": ""7:00"", ""fin"": ""12:00""}}, {""dia"": ""Jueves"", ""turnos"": {""inicio"": ""9:00"", ""fin"": ""15:00""}}, {""dia"": ""Viernes"", ""turnos"": {""inicio"": ""10:00"", ""fin"": ""15:00""}}]}"
996,Hospital pharmacist,CM-0185,"{""horario"": [{""dia"": ""Lunes"", ""turnos"": {""inicio"": ""8:00"", ""fin"": ""13:00""}}, {""dia"": ""Martes"", ""turnos"": {""inicio"": ""11:00"", ""fin"": ""15:00""}}, {""dia"": ""Miércoles"", ""turnos"": {""inicio"": ""7:00"", ""fin"": ""12:00""}}, {""dia"": ""Jueves"", ""turnos"": {""inicio"": ""11:00"", ""fin"": ""15:00""}}, {""dia"": ""Viernes"", ""turnos"": {""inicio"": ""11:00"", ""fin"": ""15:00""}}]}"
997,Insurance broker,CM-0827,"{""horario"": [{""dia"": ""Lunes"", ""turnos"": {""inicio"": ""9:00"", ""fin"": ""14:00""}}, {""dia"": ""Martes"", ""turnos"": {""inicio"": ""7:00"", ""fin"": ""11:00""}}, {""dia"": ""Miércoles"", ""turnos"": {""inicio"": ""10:00"", ""fin"": ""16:00""}}, {""dia"": ""Jueves"", ""turnos"": {""inicio"": ""8:00"", ""fin"": ""13:00""}}, {""dia"": ""Viernes"", ""turnos"": {""inicio"": ""8:00"", ""fin"": ""14:00""}}]}"
998,"Runner, broadcasting/film/video",CM-3806,"{""horario"": [{""dia"": ""Lunes"", ""turnos"": {""inicio"": ""7:00"", ""fin"": ""13:00""}}, {""dia"": ""Martes"", ""turnos"": {""inicio"": ""9:00"", ""fin"": ""13:00""}}, {""dia"": ""Miércoles"", ""turnos"": {""inicio"": ""8:00"", ""fin"": ""14:00""}}, {""dia"": ""Jueves"", ""turnos"": {""inicio"": ""11:00"", ""fin"": ""15:00""}}, {""dia"": ""Viernes"", ""turnos"": {""inicio"": ""7:00"", ""fin"": ""13:00""}}]}"
999,Technical brewer,CM-4783,"{""horario"": [{""dia"": ""Lunes"", ""turnos"": {""inicio"": ""8:00"", ""fin"": ""14:00""}}, {""dia"": ""Martes"", ""turnos"": {""inicio"": ""11:00"", ""fin"": ""15:00""}}, {""dia"": ""Miércoles"", ""turnos"": {""inicio"": ""10:00"", ""fin"": ""14:00""}}, {""dia"": ""Jueves"", ""turnos"": {""inicio"": ""9:00"", ""fin"": ""15:00""}}, {""dia"": ""Viernes"", ""turnos"": {""inicio"": ""8:00"", ""fin"": ""14:00""}}]}"
1000,Legal secretary,CM-6696,"{""horario"": [{""dia"": ""Lunes"", ""turnos"": {""inicio"": ""11:00"", ""fin"": ""15:00""}}, {""dia"": ""Martes"", ""turnos"": {""inicio"": ""10:00"", ""fin"": ""15:00""}}, {""dia"": ""Miércoles"", ""turnos"": {""inicio"": ""7:00"", ""fin"": ""11:00""}}, {""dia"": ""Jueves"", ""turnos"": {""inicio"": ""8:00"", ""fin"": ""13:00""}}, {""dia"": ""Viernes"", ""turnos"": {""inicio"": ""9:00"", ""fin"": ""15:00""}}]}"
1001,Patent attorney,CM-5712,"{""horario"": [{""dia"": ""Lunes"", ""turnos"": {""inicio"": ""11:00"", ""fin"": ""17:00""}}, {""dia"": ""Martes"", ""turnos"": {""inicio"": ""9:00"", ""fin"": ""13:00""}}, {""dia"": ""Miércoles"", ""turnos"": {""inicio"": ""7:00"", ""fin"": ""11:00""}}, {""dia"": ""Jueves"", ""turnos"": {""inicio"": ""10:00"", ""fin"": ""15:00""}}, {""dia"": ""Viernes"", ""turnos"": {""inicio"": ""9:00"", ""fin"": ""13:00""}}]}"
1002,Lexicographer,CM-1241,"{""horario"": [{""dia"": ""Lunes"", ""turnos"": {""inicio"": ""10:00"", ""fin"": ""14:00""}}, {""dia"": ""Martes"", ""turnos"": {""inicio"": ""9:00"", ""fin"": ""14:00""}}, {""dia"": ""Miércoles"", ""turnos"": {""inicio"": ""9:00"", ""fin"": ""14:00""}}, {""dia"": ""Jueves"", ""turnos"": {""inicio"": ""8:00"", ""fin"": ""13:00""}}, {""dia"": ""Viernes"", ""turnos"": {""inicio"": ""11:00"", ""fin"": ""16:00""}}]}"
1003,"Engineer, electronics",CM-0508,"{""horario"": [{""dia"": ""Lunes"", ""turnos"": {""inicio"": ""10:00"", ""fin"": ""15:00""}}, {""dia"": ""Martes"", ""turnos"": {""inicio"": ""7:00"", ""fin"": ""12:00""}}, {""dia"": ""Miércoles"", ""turnos"": {""inicio"": ""8:00"", ""fin"": ""12:00""}}, {""dia"": ""Jueves"", ""turnos"": {""inicio"": ""7:00"", ""fin"": ""11:00""}}, {""dia"": ""Viernes"", ""turnos"": {""inicio"": ""7:00"", ""fin"": ""11:00""}}]}"
1004,Games developer,CM-7707,"{""horario"": [{""dia"": ""Lunes"", ""turnos"": {""inicio"": ""8:00"", ""fin"": ""12:00""}}, {""dia"": ""Martes"", ""turnos"": {""inicio"": ""10:00"", ""fin"": ""16:00""}}, {""dia"": ""Miércoles"", ""turnos"": {""inicio"": ""8:00"", ""fin"": ""12:00""}}, {""dia"": ""Jueves"", ""turnos"": {""inicio"": ""7:00"", ""fin"": ""11:00""}}, {""dia"": ""Viernes"", ""turnos"": {""inicio"": ""8:00"", ""fin"": ""13:00""}}]}"
1005,Hospital doctor,CM-6362,"{""horario"": [{""dia"": ""Lunes"", ""turnos"": {""inicio"": ""9:00"", ""fin"": ""13:00""}}, {""dia"": ""Martes"", ""turnos"": {""inicio"": ""7:00"", ""fin"": ""13:00""}}, {""dia"": ""Miércoles"", ""turnos"": {""inicio"": ""11:00"", ""fin"": ""15:00""}}, {""dia"": ""Jueves"", ""turnos"": {""inicio"": ""8:00"", ""fin"": ""14:00""}}, {""dia"": ""Viernes"", ""turnos"": {""inicio"": ""10:00"", ""fin"": ""15:00""}}]}"
1006,Speech and language therapist,CM-3071,"{""horario"": [{""dia"": ""Lunes"", ""turnos"": {""inicio"": ""7:00"", ""fin"": ""11:00""}}, {""dia"": ""Martes"", ""turnos"": {""inicio"": ""7:00"", ""fin"": ""11:00""}}, {""dia"": ""Miércoles"", ""turnos"": {""inicio"": ""11:00"", ""fin"": ""17:00""}}, {""dia"": ""Jueves"", ""turnos"": {""inicio"": ""10:00"", ""fin"": ""14:00""}}, {""dia"": ""Viernes"", ""turnos"": {""inicio"": ""10:00"", ""fin"": ""15:00""}}]}"
1007,Homeopath,CM-3184,"{""horario"": [{""dia"": ""Lunes"", ""turnos"": {""inicio"": ""8:00"", ""fin"": ""14:00""}}, {""dia"": ""Martes"", ""turnos"": {""inicio"": ""11:00"", ""fin"": ""15:00""}}, {""dia"": ""Miércoles"", ""turnos"": {""inicio"": ""7:00"", ""fin"": ""13:00""}}, {""dia"": ""Jueves"", ""turnos"": {""inicio"": ""11:00"", ""fin"": ""15:00""}}, {""dia"": ""Viernes"", ""turnos"": {""inicio"": ""10:00"", ""fin"": ""16:00""}}]}"
1008,Field trials officer,CM-8879,"{""horario"": [{""dia"": ""Lunes"", ""turnos"": {""inicio"": ""8:00"", ""fin"": ""14:00""}}, {""dia"": ""Martes"", ""turnos"": {""inicio"": ""10:00"", ""fin"": ""16:00""}}, {""dia"": ""Miércoles"", ""turnos"": {""inicio"": ""7:00"", ""fin"": ""12:00""}}, {""dia"": ""Jueves"", ""turnos"": {""inicio"": ""10:00"", ""fin"": ""15:00""}}, {""dia"": ""Viernes"", ""turnos"": {""inicio"": ""8:00"", ""fin"": ""13:00""}}]}"
1009,Television/film/video producer,CM-2840,"{""horario"": [{""dia"": ""Lunes"", ""turnos"": {""inicio"": ""9:00"", ""fin"": ""15:00""}}, {""dia"": ""Martes"", ""turnos"": {""inicio"": ""7:00"", ""fin"": ""11:00""}}, {""dia"": ""Miércoles"", ""turnos"": {""inicio"": ""10:00"", ""fin"": ""15:00""}}, {""dia"": ""Jueves"", ""turnos"": {""inicio"": ""11:00"", ""fin"": ""16:00""}}, {""dia"": ""Viernes"", ""turnos"": {""inicio"": ""8:00"", ""fin"": ""12:00""}}]}"
1010,Chartered legal executive (England and Wales),CM-9066,"{""horario"": [{""dia"": ""Lunes"", ""turnos"": {""inicio"": ""11:00"", ""fin"": ""17:00""}}, {""dia"": ""Martes"", ""turnos"": {""inicio"": ""8:00"", ""fin"": ""13:00""}}, {""dia"": ""Miércoles"", ""turnos"": {""inicio"": ""9:00"", ""fin"": ""14:00""}}, {""dia"": ""Jueves"", ""turnos"": {""inicio"": ""9:00"", ""fin"": ""14:00""}}, {""dia"": ""Viernes"", ""turnos"": {""inicio"": ""7:00"", ""fin"": ""11:00""}}]}"
1011,Sports administrator,CM-6655,"{""horario"": [{""dia"": ""Lunes"", ""turnos"": {""inicio"": ""11:00"", ""fin"": ""17:00""}}, {""dia"": ""Martes"", ""turnos"": {""inicio"": ""7:00"", ""fin"": ""13:00""}}, {""dia"": ""Miércoles"", ""turnos"": {""inicio"": ""10:00"", ""fin"": ""14:00""}}, {""dia"": ""Jueves"", ""turnos"": {""inicio"": ""8:00"", ""fin"": ""12:00""}}, {""dia"": ""Viernes"", ""turnos"": {""inicio"": ""8:00"", ""fin"": ""12:00""}}]}"
1012,Associate Professor,CM-1945,"{""horario"": [{""dia"": ""Lunes"", ""turnos"": {""inicio"": ""7:00"", ""fin"": ""11:00""}}, {""dia"": ""Martes"", ""turnos"": {""inicio"": ""10:00"", ""fin"": ""14:00""}}, {""dia"": ""Miércoles"", ""turnos"": {""inicio"": ""8:00"", ""fin"": ""12:00""}}, {""dia"": ""Jueves"", ""turnos"": {""inicio"": ""11:00"", ""fin"": ""17:00""}}, {""dia"": ""Viernes"", ""turnos"": {""inicio"": ""10:00"", ""fin"": ""14:00""}}]}"
1013,Commercial horticulturist,CM-8509,"{""horario"": [{""dia"": ""Lunes"", ""turnos"": {""inicio"": ""7:00"", ""fin"": ""12:00""}}, {""dia"": ""Martes"", ""turnos"": {""inicio"": ""11:00"", ""fin"": ""17:00""}}, {""dia"": ""Miércoles"", ""turnos"": {""inicio"": ""7:00"", ""fin"": ""13:00""}}, {""dia"": ""Jueves"", ""turnos"": {""inicio"": ""7:00"", ""fin"": ""12:00""}}, {""dia"": ""Viernes"", ""turnos"": {""inicio"": ""9:00"", ""fin"": ""15:00""}}]}"
1014,Advertising copywriter,CM-4497,"{""horario"": [{""dia"": ""Lunes"", ""turnos"": {""inicio"": ""9:00"", ""fin"": ""14:00""}}, {""dia"": ""Martes"", ""turnos"": {""inicio"": ""9:00"", ""fin"": ""13:00""}}, {""dia"": ""Miércoles"", ""turnos"": {""inicio"": ""7:00"", ""fin"": ""11:00""}}, {""dia"": ""Jueves"", ""turnos"": {""inicio"": ""11:00"", ""fin"": ""16:00""}}, {""dia"": ""Viernes"", ""turnos"": {""inicio"": ""11:00"", ""fin"": ""16:00""}}]}"
1015,Clinical molecular geneticist,CM-4318,"{""horario"": [{""dia"": ""Lunes"", ""turnos"": {""inicio"": ""10:00"", ""fin"": ""15:00""}}, {""dia"": ""Martes"", ""turnos"": {""inicio"": ""10:00"", ""fin"": ""14:00""}}, {""dia"": ""Miércoles"", ""turnos"": {""inicio"": ""11:00"", ""fin"": ""17:00""}}, {""dia"": ""Jueves"", ""turnos"": {""inicio"": ""8:00"", ""fin"": ""12:00""}}, {""dia"": ""Viernes"", ""turnos"": {""inicio"": ""9:00"", ""fin"": ""13:00""}}]}"
1016,Data processing manager,CM-8425,"{""horario"": [{""dia"": ""Lunes"", ""turnos"": {""inicio"": ""9:00"", ""fin"": ""13:00""}}, {""dia"": ""Martes"", ""turnos"": {""inicio"": ""10:00"", ""fin"": ""15:00""}}, {""dia"": ""Miércoles"", ""turnos"": {""inicio"": ""8:00"", ""fin"": ""13:00""}}, {""dia"": ""Jueves"", ""turnos"": {""inicio"": ""10:00"", ""fin"": ""14:00""}}, {""dia"": ""Viernes"", ""turnos"": {""inicio"": ""7:00"", ""fin"": ""12:00""}}]}"
1017,Farm manager,CM-9771,"{""horario"": [{""dia"": ""Lunes"", ""turnos"": {""inicio"": ""10:00"", ""fin"": ""16:00""}}, {""dia"": ""Martes"", ""turnos"": {""inicio"": ""7:00"", ""fin"": ""12:00""}}, {""dia"": ""Miércoles"", ""turnos"": {""inicio"": ""7:00"", ""fin"": ""13:00""}}, {""dia"": ""Jueves"", ""turnos"": {""inicio"": ""8:00"", ""fin"": ""14:00""}}, {""dia"": ""Viernes"", ""turnos"": {""inicio"": ""9:00"", ""fin"": ""13:00""}}]}"
1018,Licensed conveyancer,CM-5471,"{""horario"": [{""dia"": ""Lunes"", ""turnos"": {""inicio"": ""11:00"", ""fin"": ""17:00""}}, {""dia"": ""Martes"", ""turnos"": {""inicio"": ""11:00"", ""fin"": ""16:00""}}, {""dia"": ""Miércoles"", ""turnos"": {""inicio"": ""7:00"", ""fin"": ""12:00""}}, {""dia"": ""Jueves"", ""turnos"": {""inicio"": ""11:00"", ""fin"": ""16:00""}}, {""dia"": ""Viernes"", ""turnos"": {""inicio"": ""7:00"", ""fin"": ""11:00""}}]}"
1019,"Engineer, drilling",CM-0545,"{""horario"": [{""dia"": ""Lunes"", ""turnos"": {""inicio"": ""10:00"", ""fin"": ""15:00""}}, {""dia"": ""Martes"", ""turnos"": {""inicio"": ""8:00"", ""fin"": ""14:00""}}, {""dia"": ""Miércoles"", ""turnos"": {""inicio"": ""9:00"", ""fin"": ""15:00""}}, {""dia"": ""Jueves"", ""turnos"": {""inicio"": ""11:00"", ""fin"": ""16:00""}}, {""dia"": ""Viernes"", ""turnos"": {""inicio"": ""8:00"", ""fin"": ""13:00""}}]}"
1020,"Conservation officer, historic buildings",CM-9531,"{""horario"": [{""dia"": ""Lunes"", ""turnos"": {""inicio"": ""10:00"", ""fin"": ""14:00""}}, {""dia"": ""Martes"", ""turnos"": {""inicio"": ""8:00"", ""fin"": ""14:00""}}, {""dia"": ""Miércoles"", ""turnos"": {""inicio"": ""7:00"", ""fin"": ""13:00""}}, {""dia"": ""Jueves"", ""turnos"": {""inicio"": ""9:00"", ""fin"": ""15:00""}}, {""dia"": ""Viernes"", ""turnos"": {""inicio"": ""8:00"", ""fin"": ""14:00""}}]}"
1021,"Engineer, biomedical",CM-1217,"{""horario"": [{""dia"": ""Lunes"", ""turnos"": {""inicio"": ""10:00"", ""fin"": ""14:00""}}, {""dia"": ""Martes"", ""turnos"": {""inicio"": ""8:00"", ""fin"": ""14:00""}}, {""dia"": ""Miércoles"", ""turnos"": {""inicio"": ""11:00"", ""fin"": ""16:00""}}, {""dia"": ""Jueves"", ""turnos"": {""inicio"": ""7:00"", ""fin"": ""12:00""}}, {""dia"": ""Viernes"", ""turnos"": {""inicio"": ""9:00"", ""fin"": ""15:00""}}]}"
1022,Barrister's clerk,CM-9940,"{""horario"": [{""dia"": ""Lunes"", ""turnos"": {""inicio"": ""10:00"", ""fin"": ""14:00""}}, {""dia"": ""Martes"", ""turnos"": {""inicio"": ""11:00"", ""fin"": ""17:00""}}, {""dia"": ""Miércoles"", ""turnos"": {""inicio"": ""8:00"", ""fin"": ""14:00""}}, {""dia"": ""Jueves"", ""turnos"": {""inicio"": ""7:00"", ""fin"": ""11:00""}}, {""dia"": ""Viernes"", ""turnos"": {""inicio"": ""7:00"", ""fin"": ""11:00""}}]}"
1023,Museum/gallery conservator,CM-5414,"{""horario"": [{""dia"": ""Lunes"", ""turnos"": {""inicio"": ""10:00"", ""fin"": ""16:00""}}, {""dia"": ""Martes"", ""turnos"": {""inicio"": ""9:00"", ""fin"": ""13:00""}}, {""dia"": ""Miércoles"", ""turnos"": {""inicio"": ""11:00"", ""fin"": ""16:00""}}, {""dia"": ""Jueves"", ""turnos"": {""inicio"": ""7:00"", ""fin"": ""12:00""}}, {""dia"": ""Viernes"", ""turnos"": {""inicio"": ""7:00"", ""fin"": ""13:00""}}]}"
1024,Event organiser,CM-2689,"{""horario"": [{""dia"": ""Lunes"", ""turnos"": {""inicio"": ""8:00"", ""fin"": ""14:00""}}, {""dia"": ""Martes"", ""turnos"": {""inicio"": ""9:00"", ""fin"": ""13:00""}}, {""dia"": ""Miércoles"", ""turnos"": {""inicio"": ""10:00"", ""fin"": ""15:00""}}, {""dia"": ""Jueves"", ""turnos"": {""inicio"": ""9:00"", ""fin"": ""14:00""}}, {""dia"": ""Viernes"", ""turnos"": {""inicio"": ""8:00"", ""fin"": ""13:00""}}]}"
1025,"Administrator, Civil Service",CM-9567,"{""horario"": [{""dia"": ""Lunes"", ""turnos"": {""inicio"": ""11:00"", ""fin"": ""15:00""}}, {""dia"": ""Martes"", ""turnos"": {""inicio"": ""11:00"", ""fin"": ""15:00""}}, {""dia"": ""Miércoles"", ""turnos"": {""inicio"": ""7:00"", ""fin"": ""13:00""}}, {""dia"": ""Jueves"", ""turnos"": {""inicio"": ""8:00"", ""fin"": ""14:00""}}, {""dia"": ""Viernes"", ""turnos"": {""inicio"": ""10:00"", ""fin"": ""15:00""}}]}"
1026,"Therapist, horticultural",CM-1833,"{""horario"": [{""dia"": ""Lunes"", ""turnos"": {""inicio"": ""9:00"", ""fin"": ""13:00""}}, {""dia"": ""Martes"", ""turnos"": {""inicio"": ""11:00"", ""fin"": ""16:00""}}, {""dia"": ""Miércoles"", ""turnos"": {""inicio"": ""8:00"", ""fin"": ""12:00""}}, {""dia"": ""Jueves"", ""turnos"": {""inicio"": ""10:00"", ""fin"": ""16:00""}}, {""dia"": ""Viernes"", ""turnos"": {""inicio"": ""9:00"", ""fin"": ""15:00""}}]}"
1027,Lobbyist,CM-9560,"{""horario"": [{""dia"": ""Lunes"", ""turnos"": {""inicio"": ""10:00"", ""fin"": ""16:00""}}, {""dia"": ""Martes"", ""turnos"": {""inicio"": ""8:00"", ""fin"": ""12:00""}}, {""dia"": ""Miércoles"", ""turnos"": {""inicio"": ""11:00"", ""fin"": ""17:00""}}, {""dia"": ""Jueves"", ""turnos"": {""inicio"": ""10:00"", ""fin"": ""15:00""}}, {""dia"": ""Viernes"", ""turnos"": {""inicio"": ""7:00"", ""fin"": ""11:00""}}]}"
1028,Contractor,CM-6620,"{""horario"": [{""dia"": ""Lunes"", ""turnos"": {""inicio"": ""11:00"", ""fin"": ""16:00""}}, {""dia"": ""Martes"", ""turnos"": {""inicio"": ""9:00"", ""fin"": ""15:00""}}, {""dia"": ""Miércoles"", ""turnos"": {""inicio"": ""8:00"", ""fin"": ""14:00""}}, {""dia"": ""Jueves"", ""turnos"": {""inicio"": ""7:00"", ""fin"": ""11:00""}}, {""dia"": ""Viernes"", ""turnos"": {""inicio"": ""7:00"", ""fin"": ""13:00""}}]}"
1029,"Designer, exhibition/display",CM-3671,"{""horario"": [{""dia"": ""Lunes"", ""turnos"": {""inicio"": ""7:00"", ""fin"": ""12:00""}}, {""dia"": ""Martes"", ""turnos"": {""inicio"": ""9:00"", ""fin"": ""13:00""}}, {""dia"": ""Miércoles"", ""turnos"": {""inicio"": ""11:00"", ""fin"": ""15:00""}}, {""dia"": ""Jueves"", ""turnos"": {""inicio"": ""10:00"", ""fin"": ""16:00""}}, {""dia"": ""Viernes"", ""turnos"": {""inicio"": ""7:00"", ""fin"": ""11:00""}}]}"
1030,"Engineer, land",CM-2967,"{""horario"": [{""dia"": ""Lunes"", ""turnos"": {""inicio"": ""7:00"", ""fin"": ""12:00""}}, {""dia"": ""Martes"", ""turnos"": {""inicio"": ""9:00"", ""fin"": ""13:00""}}, {""dia"": ""Miércoles"", ""turnos"": {""inicio"": ""8:00"", ""fin"": ""13:00""}}, {""dia"": ""Jueves"", ""turnos"": {""inicio"": ""8:00"", ""fin"": ""14:00""}}, {""dia"": ""Viernes"", ""turnos"": {""inicio"": ""9:00"", ""fin"": ""15:00""}}]}"
1031,Counselling psychologist,CM-8511,"{""horario"": [{""dia"": ""Lunes"", ""turnos"": {""inicio"": ""7:00"", ""fin"": ""12:00""}}, {""dia"": ""Martes"", ""turnos"": {""inicio"": ""8:00"", ""fin"": ""13:00""}}, {""dia"": ""Miércoles"", ""turnos"": {""inicio"": ""7:00"", ""fin"": ""13:00""}}, {""dia"": ""Jueves"", ""turnos"": {""inicio"": ""7:00"", ""fin"": ""11:00""}}, {""dia"": ""Viernes"", ""turnos"": {""inicio"": ""11:00"", ""fin"": ""15:00""}}]}"
1032,Physiotherapist,CM-0636,"{""horario"": [{""dia"": ""Lunes"", ""turnos"": {""inicio"": ""9:00"", ""fin"": ""13:00""}}, {""dia"": ""Martes"", ""turnos"": {""inicio"": ""8:00"", ""fin"": ""13:00""}}, {""dia"": ""Miércoles"", ""turnos"": {""inicio"": ""10:00"", ""fin"": ""16:00""}}, {""dia"": ""Jueves"", ""turnos"": {""inicio"": ""11:00"", ""fin"": ""15:00""}}, {""dia"": ""Viernes"", ""turnos"": {""inicio"": ""8:00"", ""fin"": ""13:00""}}]}"
1033,"Conservation officer, nature",CM-5846,"{""horario"": [{""dia"": ""Lunes"", ""turnos"": {""inicio"": ""10:00"", ""fin"": ""15:00""}}, {""dia"": ""Martes"", ""turnos"": {""inicio"": ""8:00"", ""fin"": ""12:00""}}, {""dia"": ""Miércoles"", ""turnos"": {""inicio"": ""9:00"", ""fin"": ""15:00""}}, {""dia"": ""Jueves"", ""turnos"": {""inicio"": ""8:00"", ""fin"": ""13:00""}}, {""dia"": ""Viernes"", ""turnos"": {""inicio"": ""8:00"", ""fin"": ""12:00""}}]}"
1034,"Psychologist, sport and exercise",CM-6696,"{""horario"": [{""dia"": ""Lunes"", ""turnos"": {""inicio"": ""8:00"", ""fin"": ""12:00""}}, {""dia"": ""Martes"", ""turnos"": {""inicio"": ""9:00"", ""fin"": ""13:00""}}, {""dia"": ""Miércoles"", ""turnos"": {""inicio"": ""10:00"", ""fin"": ""16:00""}}, {""dia"": ""Jueves"", ""turnos"": {""inicio"": ""10:00"", ""fin"": ""14:00""}}, {""dia"": ""Viernes"", ""turnos"": {""inicio"": ""8:00"", ""fin"": ""13:00""}}]}"
1035,"Teacher, music",CM-1490,"{""horario"": [{""dia"": ""Lunes"", ""turnos"": {""inicio"": ""10:00"", ""fin"": ""16:00""}}, {""dia"": ""Martes"", ""turnos"": {""inicio"": ""9:00"", ""fin"": ""14:00""}}, {""dia"": ""Miércoles"", ""turnos"": {""inicio"": ""11:00"", ""fin"": ""16:00""}}, {""dia"": ""Jueves"", ""turnos"": {""inicio"": ""11:00"", ""fin"": ""16:00""}}, {""dia"": ""Viernes"", ""turnos"": {""inicio"": ""11:00"", ""fin"": ""17:00""}}]}"
1036,Prison officer,CM-5674,"{""horario"": [{""dia"": ""Lunes"", ""turnos"": {""inicio"": ""8:00"", ""fin"": ""12:00""}}, {""dia"": ""Martes"", ""turnos"": {""inicio"": ""8:00"", ""fin"": ""12:00""}}, {""dia"": ""Miércoles"", ""turnos"": {""inicio"": ""11:00"", ""fin"": ""15:00""}}, {""dia"": ""Jueves"", ""turnos"": {""inicio"": ""8:00"", ""fin"": ""13:00""}}, {""dia"": ""Viernes"", ""turnos"": {""inicio"": ""9:00"", ""fin"": ""14:00""}}]}"
1037,Television floor manager,CM-8844,"{""horario"": [{""dia"": ""Lunes"", ""turnos"": {""inicio"": ""11:00"", ""fin"": ""15:00""}}, {""dia"": ""Martes"", ""turnos"": {""inicio"": ""7:00"", ""fin"": ""13:00""}}, {""dia"": ""Miércoles"", ""turnos"": {""inicio"": ""7:00"", ""fin"": ""11:00""}}, {""dia"": ""Jueves"", ""turnos"": {""inicio"": ""9:00"", ""fin"": ""15:00""}}, {""dia"": ""Viernes"", ""turnos"": {""inicio"": ""8:00"", ""fin"": ""13:00""}}]}"
1038,Primary school teacher,CM-7004,"{""horario"": [{""dia"": ""Lunes"", ""turnos"": {""inicio"": ""10:00"", ""fin"": ""15:00""}}, {""dia"": ""Martes"", ""turnos"": {""inicio"": ""9:00"", ""fin"": ""13:00""}}, {""dia"": ""Miércoles"", ""turnos"": {""inicio"": ""9:00"", ""fin"": ""14:00""}}, {""dia"": ""Jueves"", ""turnos"": {""inicio"": ""9:00"", ""fin"": ""15:00""}}, {""dia"": ""Viernes"", ""turnos"": {""inicio"": ""8:00"", ""fin"": ""13:00""}}]}"
1039,Chief Marketing Officer,CM-8153,"{""horario"": [{""dia"": ""Lunes"", ""turnos"": {""inicio"": ""11:00"", ""fin"": ""16:00""}}, {""dia"": ""Martes"", ""turnos"": {""inicio"": ""7:00"", ""fin"": ""11:00""}}, {""dia"": ""Miércoles"", ""turnos"": {""inicio"": ""8:00"", ""fin"": ""12:00""}}, {""dia"": ""Jueves"", ""turnos"": {""inicio"": ""8:00"", ""fin"": ""14:00""}}, {""dia"": ""Viernes"", ""turnos"": {""inicio"": ""8:00"", ""fin"": ""13:00""}}]}"
1040,Chief Technology Officer,CM-4493,"{""horario"": [{""dia"": ""Lunes"", ""turnos"": {""inicio"": ""10:00"", ""fin"": ""16:00""}}, {""dia"": ""Martes"", ""turnos"": {""inicio"": ""10:00"", ""fin"": ""14:00""}}, {""dia"": ""Miércoles"", ""turnos"": {""inicio"": ""7:00"", ""fin"": ""11:00""}}, {""dia"": ""Jueves"", ""turnos"": {""inicio"": ""8:00"", ""fin"": ""12:00""}}, {""dia"": ""Viernes"", ""turnos"": {""inicio"": ""11:00"", ""fin"": ""15:00""}}]}"
